	bc1 num	count	frac	cumulative	index
2420	demo_bc1_21_bc2_88_bc3_52	0	0.0	1.0000000000000004	78
2421	demo_bc1_22_bc2_88_bc3_52	0	0.0	1.0000000000000004	79
2422	demo_bc1_23_bc2_88_bc3_52	0	0.0	1.0000000000000004	80
2423	demo_bc1_24_bc2_88_bc3_52	0	0.0	1.0000000000000004	81
2424	demo_bc1_25_bc2_88_bc3_52	0	0.0	1.0000000000000004	82
2440	demo_bc1_41_bc2_88_bc3_52	0	0.0	1.0000000000000004	83
2443	demo_bc1_44_bc2_88_bc3_52	0	0.0	1.0000000000000004	84
2442	demo_bc1_43_bc2_88_bc3_52	0	0.0	1.0000000000000004	85
2491	demo_bc1_92_bc2_88_bc3_52	0	0.0	1.0000000000000004	86
2464	demo_bc1_65_bc2_88_bc3_52	0	0.0	1.0000000000000004	87
2465	demo_bc1_66_bc2_88_bc3_52	0	0.0	1.0000000000000004	88
2466	demo_bc1_67_bc2_88_bc3_52	0	0.0	1.0000000000000004	89
2467	demo_bc1_68_bc2_88_bc3_52	0	0.0	1.0000000000000004	90
2468	demo_bc1_69_bc2_88_bc3_52	0	0.0	1.0000000000000004	91
2487	demo_bc1_88_bc2_88_bc3_52	0	0.0	1.0000000000000004	92
2469	demo_bc1_70_bc2_88_bc3_52	0	0.0	1.0000000000000004	93
2470	demo_bc1_71_bc2_88_bc3_52	0	0.0	1.0000000000000004	94
2471	demo_bc1_72_bc2_88_bc3_52	0	0.0	1.0000000000000004	95
2472	demo_bc1_73_bc2_88_bc3_52	0	0.0	1.0000000000000004	96
2473	demo_bc1_74_bc2_88_bc3_52	0	0.0	1.0000000000000004	97
2486	demo_bc1_87_bc2_88_bc3_52	0	0.0	1.0000000000000004	98
2474	demo_bc1_75_bc2_88_bc3_52	0	0.0	1.0000000000000004	99
2475	demo_bc1_76_bc2_88_bc3_52	0	0.0	1.0000000000000004	100
2476	demo_bc1_77_bc2_88_bc3_52	0	0.0	1.0000000000000004	101
2477	demo_bc1_78_bc2_88_bc3_52	0	0.0	1.0000000000000004	102
2479	demo_bc1_80_bc2_88_bc3_52	0	0.0	1.0000000000000004	103
2480	demo_bc1_81_bc2_88_bc3_52	0	0.0	1.0000000000000004	104
2481	demo_bc1_82_bc2_88_bc3_52	0	0.0	1.0000000000000004	105
2485	demo_bc1_86_bc2_88_bc3_52	0	0.0	1.0000000000000004	106
2484	demo_bc1_85_bc2_88_bc3_52	0	0.0	1.0000000000000004	107
2488	demo_bc1_89_bc2_88_bc3_52	0	0.0	1.0000000000000004	108
2463	demo_bc1_64_bc2_88_bc3_52	0	0.0	1.0000000000000004	109
2462	demo_bc1_63_bc2_88_bc3_52	0	0.0	1.0000000000000004	110
2451	demo_bc1_52_bc2_88_bc3_52	0	0.0	1.0000000000000004	111
2482	demo_bc1_83_bc2_88_bc3_52	0	0.0	1.0000000000000004	112
2444	demo_bc1_45_bc2_88_bc3_52	0	0.0	1.0000000000000004	113
2445	demo_bc1_46_bc2_88_bc3_52	0	0.0	1.0000000000000004	114
2446	demo_bc1_47_bc2_88_bc3_52	0	0.0	1.0000000000000004	115
2447	demo_bc1_48_bc2_88_bc3_52	0	0.0	1.0000000000000004	116
2490	demo_bc1_91_bc2_88_bc3_52	0	0.0	1.0000000000000004	117
2448	demo_bc1_49_bc2_88_bc3_52	0	0.0	1.0000000000000004	118
2449	demo_bc1_50_bc2_88_bc3_52	0	0.0	1.0000000000000004	119
2450	demo_bc1_51_bc2_88_bc3_52	0	0.0	1.0000000000000004	120
2489	demo_bc1_90_bc2_88_bc3_52	0	0.0	1.0000000000000004	121
2461	demo_bc1_62_bc2_88_bc3_52	0	0.0	1.0000000000000004	122
2452	demo_bc1_53_bc2_88_bc3_52	0	0.0	1.0000000000000004	123
2453	demo_bc1_54_bc2_88_bc3_52	0	0.0	1.0000000000000004	124
2454	demo_bc1_55_bc2_88_bc3_52	0	0.0	1.0000000000000004	125
2455	demo_bc1_56_bc2_88_bc3_52	0	0.0	1.0000000000000004	126
2456	demo_bc1_57_bc2_88_bc3_52	0	0.0	1.0000000000000004	127
2457	demo_bc1_58_bc2_88_bc3_52	0	0.0	1.0000000000000004	128
2458	demo_bc1_59_bc2_88_bc3_52	0	0.0	1.0000000000000004	129
2459	demo_bc1_60_bc2_88_bc3_52	0	0.0	1.0000000000000004	130
2460	demo_bc1_61_bc2_88_bc3_52	0	0.0	1.0000000000000004	131
0	demo_bc1_1_bc2_28_bc3_1	0	0.0	1.0000000000000004	132
2397	demo_bc1_94_bc2_35_bc3_52	0	0.0	1.0000000000000004	133
2406	demo_bc1_7_bc2_88_bc3_52	0	0.0	1.0000000000000004	134
2405	demo_bc1_6_bc2_88_bc3_52	0	0.0	1.0000000000000004	135
2323	demo_bc1_20_bc2_35_bc3_52	0	0.0	1.0000000000000004	136
2324	demo_bc1_21_bc2_35_bc3_52	0	0.0	1.0000000000000004	137
2325	demo_bc1_22_bc2_35_bc3_52	0	0.0	1.0000000000000004	138
2326	demo_bc1_23_bc2_35_bc3_52	0	0.0	1.0000000000000004	139
2327	demo_bc1_24_bc2_35_bc3_52	0	0.0	1.0000000000000004	140
2328	demo_bc1_25_bc2_35_bc3_52	0	0.0	1.0000000000000004	141
2329	demo_bc1_26_bc2_35_bc3_52	0	0.0	1.0000000000000004	142
2330	demo_bc1_27_bc2_35_bc3_52	0	0.0	1.0000000000000004	143
